Name,Price,Normal Price,Link
"ASUS Vivobook S 15 OLED (2023), Intel Core EVO i5-13500H 13th Gen, 15.6"" (39.62 cm) 2.8K 120Hz OLED, Thin & Light Laptop (16GB/512GB SSD/Iris Xe/Win 11/Office 2021/75WHr/Blue/1.7 kg) S5504VA-MA541WS","75,990","₹1,06,990",https:amazon.in//ASUS-Vivobook-i5-13500H-Laptop-S5504VA-MA541WS/dp/B0BSDZY5FV/ref=sr_1_217?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-217&xpid=9x5mw5HGXik4p
"Realme Book (Slim) Intel Core I3 11Th Gen - (8 Gb/256 Gb Ssd/Windows 10 Home) Rmnb1001 Thin And Light Laptop (14 Inches, Real Gray, 1.38 Kg, With Ms Office) New","29,990","₹54,990",https:amazon.in//Realme-Book-Slim-Intel-Core/dp/B09L65JH7B/ref=sr_1_226?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-226&xpid=9x5mw5HGXik4p
"ASUS ROG Strix Scar 16 (2024), Intel Core™ i9 14900HX 14th Gen, 16""(40.64cm) 2.5K QHD+240Hz, Gaming Laptop (32GB DDR5/2TB SSD/16GB RTX 4090/Win11/Per-Key RGB/90WHr/Black/2.65Kg),G634JYR-RA001WS","3,50,990","₹3,95,990",https:amazon.in//ASUS-CoreTM-14900HX-40-64cm-G634JYR-RA001WS/dp/B0CV1834D2/ref=sr_1_227?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-227&xpid=9x5mw5HGXik4p
"ASUS Vivobook S 15 OLED, 2.8K (2880 x 1620) 16:9,Core i9-13900H Processor 2.6 GHz,Light Laptop (16GB RAM/512GB SSD/Windows 11/Office Home/Fingerprint/75WHr Battery/Cool Silver/1.60 kg),S5504VA-MA943WS","91,699","₹1,16,990",https:amazon.in//ASUS-Vivobook-OLED-2-8K-2880/dp/B09L5K7DM5/ref=sr_1_228?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-228&xpid=9x5mw5HGXik4p
"Microsoft Surface Laptop GO 3 Touch Screen 12.4"" Inch, i5 /12th Gen Intel Core i5 1235U /8GB RAM /256GB SSD/Windows 11 /English Hdwr Platinum - XK1-00045","68,990","₹80,999",https:amazon.in//Microsoft-Surface-Windows-English-Platinum/dp/B0CL2JZZ4V/ref=sr_1_229?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-229&xpid=9x5mw5HGXik4p
"Dell [SmartChoice] Alienware m18 R1 Gaming Laptop, Intel Core i9-13900HX /32GB /1TB SSD/NVIDIA RTX 4080 12GB GDDR6 /18.0""(45.72cm) QHD 165Hz /15 Month McAfee/Backlit KB with per-Key AlienFX /3.86kg","2,99,990","₹4,69,654",https:amazon.in//Dell-SmartChoice-Alienware-i9-13900HX-processor/dp/B0C1Z8DHFD/ref=sr_1_230?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-230&xpid=9x5mw5HGXik4p
"Lenovo V14 Intel Core i5 12th Gen 14""(35.56cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1.43 kg),","36,290","₹75,000",https:amazon.in//Lenovo-35-56cm-1920x1080-Antiglare-82TSA0CWIH/dp/B0CWRP5P1M/ref=sr_1_231?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-231&xpid=9x5mw5HGXik4p
"ASUS TUF Gaming F15 - AI Powered Gaming Laptop, Intel Core i5-11400H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz, (8GB/1TB/4GB NVIDIA RTX 2050/Win 11/Backlit KB/Black/2.30 kg),FX506HF-HN026W","49,990","₹81,990",https:amazon.in//ASUS-TUF-Gaming-F15-FX506HF-HN026W/dp/B0C8PQ3VBH/ref=sr_1_232?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-232&xpid=9x5mw5HGXik4p
"HP Victus Gaming Laptop,12th Gen Intel Core i5-12450H,4GB RTX 3050 GPU,15.6-inch(39.6 cm),FHD,IPS,16GB DDR4,512GB SSD,Backlit KB,Dual Speakers (MSO, Blue,2.37 kg),fa0555tx","65,900","₹88,646",https:amazon.in//HP-i5-12450H-15-6inch-NVIDIA%C2%AE-GeForce/dp/B0CCY1T539/ref=sr_1_233?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-233&xpid=9x5mw5HGXik4p
"(Refurbished) HP ProBook 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics)","17,765","₹60,000",https:amazon.in//Refurbished-HP-ProBook-Windows-Graphics/dp/B0CKBVJVW1/ref=sr_1_234?dib=eyJ2IjoiMSJ9._YvxlaS5kZa08C1zXjOWHGstKcKb6O00AEnTcPyS9BF0T6TfVibFXy_9JkoCBMDlXlozLtu8XMXZIRtt5032IIUSDEG0TCLy2itWA6sYbK-_MP623wenbJmiOkJ-GZBZNhu0oRM_IKU3oekhQqw8PFIq74Mbh1jf-7AxwvdJ3BCCWBJ54QcG0HSwcv5jKGTtcjyXr5ZpmkqVY8yJ64PmNDi9uYEXik1BaFyvUXnSixp2QyqW8PfpprE4qK2LQUbMIrJfoRmchAwUyvSnw_B3Wg6--cvJydz11FUV9GJYQ5Bhshq7I1wSQQMOcpHk6VwaOnKpLPjkFpnR-dEm1Zd0aCpmc6D7695aNvy92WlaE88.I5aETAWyrzTcqJSZuFutLHcL-EI0XGPO4cb6Vjvt_e0&dib_tag=se&keywords=laptops&qid=1736962360&s=computers&sr=1-234&xpid=9x5mw5HGXik4p
