Title,Company,Posted,Description,More Skills,Locations,Experience,Salary
T24 Developer,Advance Consultancy Services,Posted today,Position :T24 Developer Job Location : Riyadh SaudiArabia Company Name : Gulf Link TechnologiesRoles and Responsibilities: Responsible for implementin...,"AA framework solutions,deposit modules,LD / MM / AC,T24 software,System Integration Testing,User Acceptance Testing,SIT,UAT,R21,",Other City(s) in Saudi Arabia,10 - 15 Years,Not disclosed
PLC Programmer,Sudeep Consultancy,Posted today,"Engineering pvt ltd company located at Khalumbre, Chakan Pune urgently required suitable candidates forJob Title: PLC ProgrammerJob Type: Full-timeLoc...","programming,troubleshooting,and maintaining PLC-based control systems in an industrial environment,Ladder Logic,Structured Text,Function Block Diagram,","Pune,  Other City(s) in Maharashtra",3 - 5 Years,3 - 3 Lakhs
Java Developer,Techno Wise,Posted today,Should have strong core java skills.Should have experience in Spring MVC / Spring Boot with Hibernate / JPA.Should have experience in building REST we...,"Java Developer,MVC,Spring boot,Hibernate,Webservices,SQL,",Ahmedabad,2 - 5 Years,Not disclosed
SEO Link Building Specialist,webindia master,Posted today,SEO Link Building SpecialistWebindia Master Company is seeking a dynamic and results-driven Backlinking Executive to join our SEO team. The ideal cand...,"backlink creation,link prospecting,quality control,content collaboration,competitor analysis,seo tools,off-page optimization,link building,","Delhi,  Ghaziabad",1 - 2 Years,Not disclosed
Java AWS Developer,virtusa consulting services pvt. ltd.,Posted today,"Skill: JavaRole / Tier: T2Location: BangaloreStrong Application Development work experience, Agile environment preferredSolid application design, codi...","java development,agile environment,microservices architecture,ci / cd tools,application monitoring,soa,spring,git,xml,j2ee,debugging,jpa,rest,junit,mq,maven,gradle,spring boot,",Bengaluru / Bangalore,3 - 5 Years,Not disclosed
LoanIQ BA,virtusa consulting services pvt. ltd.,Posted today,"Role: LoanIQ BASkill: LoanIQ, SQL and Database programmingExperience: 6  yearsWork Mode: HybridWork Timing: 2 PM to 11 PMWork Location: Chennai / Hyde...","loaniq implementation,sql queries,requirement documentation,sit and uat,sdlc understanding,database programming,testing,test cases,","Chennai,  Hyderabad/Secunderabad",6 - 10 Years,Not disclosed
LoanIQ BA,virtusa consulting services pvt. ltd.,Posted today,"Role: LoanIQ BASkill: LoanIQ, SQL and Database programmingExperience: 6  yearsWork Mode: HybridWork Timing: 2 PM to 11 PMWork Location: Chennai / Hyde...","loaniq experience,sql proficiency,database programming,requirement documentation,functional specification,testing,test cases,uat,sdlc,","Chennai,  Hyderabad/Secunderabad",6 - 10 Years,Not disclosed
Infrastructure Ops Engineer II,solution enterprises pvt ltd  ( ncr corporation india pvt ltd ),Posted today,"About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in...","identity management,active directory,virtualization expertise,powershell scripting,system troubleshooting,information technology,java,xml,.net,sql,security,iam,debugging,business applications,rest,access management,windows,infrastructure,",Gurgaon,5 - 8 Years,Not disclosed
Software Engineer III-React & Node Js Developer,solution enterprises pvt ltd  ( ncr corporation india pvt ltd ),Posted today,"About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in...","full stack development,agile methodologies,software troubleshooting,cloud technologies,technical documentation,html5,j2ee,software engineering,web development,javascript,web technologies,uml,senior software developer,debugging,j2se,",Hyderabad/Secunderabad,7 - 10 Years,Not disclosed
Senior Salesforce Administrator,solution enterprises pvt ltd  ( ncr corporation india pvt ltd ),Posted today,"About NCR VOYIXNCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant, and banking in...","salesforce development,business process mapping,data governance framework,admin tech debt management,feature documentation management,",Gurgaon,3 - 5 Years,Not disclosed
