Name,Fuel,Prices,Details
THE FIRST FULLY-ELECTRIC BMW iX1,Full-Electric,,"Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE NEW ALL-ELECTRIC BMW iX xDRIVE50,Full-Electric,"Starting from ₹ 1,39,50,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE FULLY ELECTRIC BMW i4,Full-Electric,"Starting from ₹ 72,50,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE FULLY ELECTRIC BMW i7,Full-Electric,"Starting from ₹ 2,03,00,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE FIRST-EVER BMW i7 M70 xDRIVE,Full-Electric,"Starting from ₹ 2,50,00,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE FIRST-EVER BMW i5 M60 xDRIVE,Full-Electric,"Starting from ₹ 1,19,50,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE BMW X1,Petrol•Diesel,"Starting from ₹ 49,90,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE BMW X3,Diesel,"Starting from ₹ 72,50,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE NEW BMW X5,Petrol•Diesel,"Starting from ₹ 97,80,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
THE BMW X7,Petrol•Diesel,"Starting from ₹ 1,30,00,000","Price prevailing at the time of invoicing will be applicable. Ex-showroom prices inclusive of GST (incl. compensation cess) as applicable but excludes Road Tax, Tax Collected at Source (TCS), RTO, statutory taxes/fees, other local tax/cess levies and Insurance. Prices and options are subject to change without prior notice. For further information, please contact your local Authorised BMW Dealer."
